book_title,author,year,decade,tokens_in_book,authors_sex
1835_sherwood-shanty-the-blacksmith-a-tale-of-other-times,sherwood,1835,1830s,31953,F
1839_sinclair-holiday-house-a-series-of-tales,sinclair,1839,1830s,77184,F
1841_martineau-the-settlers-at-home,martineau,1841,1840s,55796,F
1857_browne-grannys-wonderful-chair,browne,1857,1850s,22538,F
1851_hall-turns-of-fortune-and.other-tales,hall,1851,1850s,42655,F
1850_sherwood-the-young-lord-and-other-tales-to-which-is-added-victorine-durocher,sherwood,1850,1850s,27576,F
1857_tucker-the-rambles-of-a-rat,tucker,1857,1850s,30340,F
1858_tucker-flora,tucker,1858,1850s,35705,F
1854_yonge-the-little-duke-richard-the-fearless,yonge,1854,1850s,40802,F
1855_yonge-the-lances-of-lynwood,yonge,1855,1850s,57231,F
1853_yonge-the-heir-of-redclyffe,yonge,1853,1850s,233780,F
1856_yonge-the-daisy-chain-or-aspirations,yonge,1856,1850s,296325,F
1869_ewing-the-land-of-lost-toys,ewing,1869,1860s,23290,F
1869_ewing-mrs-overtheways-remembrances,ewing,1869,1860s,54222,F
1862_ewing-melchiors-dream-and-other-tales,ewing,1862,1860s,60151,F
1868_stretton-little-megs-children,stretton,1868,1860s,22733,F
1867_stretton-jessicas-first-prayer-and-jessicas-mother,stretton,1867,1860s,24503,F
1869_stretton-alone-in-london,stretton,1869,1860s,27082,F
1863_tucker-the-crown-of-success,tucker,1863,1860s,42489,F
1860_yonge-the-pigeon-pie,yonge,1860,1860s,27174,F
1861_yonge-the-stokesley-secret,yonge,1861,1860s,60618,F
1860_yonge-countess-kate,yonge,1860,1860s,63508,F
1866_yonge-the-prince-and-the-page-a-story-of-the-last-crusade,yonge,1866,1860s,65408,F
1879_coleridge-the-constant-prince,coleridge,1879,1870s,48490,F
1872_craik-the-adventure-of-a-brownie,craik,1872,1870s,19822,F
1875_craik-the-little-lame-prince-and-his-traveling-cloack,craik,1875,1870s,30538,F
1872_de_la_ramee-a-dog-of-flanders,de_la_ramee,1872,1870s,14058,F
1879_ewing-jackanapes-daddy-darwins-dovecot-and-other-stories,ewing,1879,1870s,30346,F
1870_ewing-the-brownies-and-other-tales,ewing,1870,1870s,48231,F
1876_ewing-six-to-sixteen-a-story-for-girls,ewing,1876,1870s,63098,F
1873_ewing-a-flat-iron-for-a-farthing,ewing,1873,1870s,63505,F
1877_ewing-a-great-emergency-and-other-tales,ewing,1877,1870s,64726,F
1876_ewing-jan-of-the-windmill,ewing,1876,1870s,82439,F
1872_meade-scamp-and-i-a-story-of-city-by-ways,meade,1872,1870s,51942,F
1877_meade-davids-little-lad,meade,1877,1870s,56459,F
1875_molesworth-tell-me-a-story,molesworth,1875,1870s,33727,F
1876_molesworth-carrots-just-a-little-boy,molesworth,1876,1870s,37855,F
1877_molesworth-the-cuckoo-clock,molesworth,1877,1870s,43430,F
1879_molesworth-the-tapestry-room-a-childs-romance,molesworth,1879,1870s,49231,F
1878_molesworth-grandmother-dear-a-book-for-boys-and-girls,molesworth,1878,1870s,53893,F
1877_sewell-black-beauty,sewell,1877,1870s,59688,F
1875_tucker-the-childrens-tabernacle-or-hand-work-and-heart-work,tucker,1875,1870s,38014,F
1871_yonge-little-lucys-wonderful-globe,yonge,1871,1870s,14637,F
1888_burnett-sara-crewe,burnett,1888,1880s,16593,F
1888_burnett-little-saint-elizabeth-and-other-tales,burnett,1888,1880s,27084,F
1880_burnett-louisiana,burnett,1880,1880s,31097,F
1882_delaramee-bimbi,delaramee,1882,1880s,44150,F
1886_delaramee-a-houseparty,delaramee,1886,1880s,85116,F
1888_ewing-snap-dragons-old-father-christmas,ewing,1888,1880s,12223,F
1883_ewing-marys-meadow-and-other-tales-of-fields-and-flowers,ewing,1883,1880s,47168,F
1882_ewing-brothers-of-pity-and-other-tales-of-beasts-and-men,ewing,1882,1880s,48404,F
1886_hodgson-burnett-little-lord-fauntleroy,hodgson,1886,1880s,58324,F
1887_leslie-kates-ordeal,leslie,1887,1880s,17612,F
1886_leslie-a-sailors-lass,leslie,1886,1880s,22130,F
1880_meade-mou-sete-a-negro-hero,meade,1880,1880s,13831,F
1882_meade-a-london-baby-the-story-of-king-roy,meade,1882,1880s,20706,F
1888_meade-the-little-princess-of-towerhill,meade,1888,1880s,53557,F
1889_meade-polly-a-new-fashioned-girl,meade,1889,1880s,80363,F
1886_meade-a-world-of-girls,meade,1886,1880s,81161,F
1883_meade-the-childrens-pilgrimage,meade,1883,1880s,83108,F
1887_meade-the-palace-beautiful,meade,1887,1880s,96821,F
1889_molesworth-the-rectory-children,molesworth,1889,1880s,42416,F
1884_molesworth-the-little-old-portrait,molesworth,1884,1880s,43159,F
1883_molesworth-two-little-waifs,molesworth,1883,1880s,43946,F
1888_molesworth-a-christmas-posy,molesworth,1888,1880s,44932,F
1886_molesworth-christmas-tree-land,molesworth,1886,1880s,45436,F
1880_molesworth-a-christmas-child-a-sketch-of-a-boy-life,molesworth,1880,1880s,48127,F
1886_molesworth-us-an-old-fashioned-story,molesworth,1886,1880s,49610,F
1883_molesworth-the-boys-and-i-a-childs-story-for-children,molesworth,1883,1880s,51909,F
1887_molesworth-silverthorns,molesworth,1887,1880s,56188,F
1888_molesworth-the-third-miss-st-quentin,molesworth,1888,1880s,80161,F
1887_peard-prentice-hugh,peard,1887,1880s,66026,F
1889_tytler-a-house-full-of-girls,tytler,1889,1880s,92611,F
1895_burnett-two-little-pilgrims-process-a-story-of-the-city-beautiful,burnett,1895,1890s,39368,F
1890_coleridge-maud-florence-nellie,coleridge,1890,1890s,51008,F
1894_everett_green-the-secret-chamber-at-chad,everett_green,1894,1890s,54988,F
1892_everett_green-the-lord-of-dynevor-a-tale-of-the-times-of-edward-the-first,everett_green,1892,1890s,58197,F
1898_everett_green-tom-tuftons-travels,everett_green,1898,1890s,74150,F
1898_everett_green-a-clerk-of-oxford-and-his-adventures-in-the-barons-war,everett_green,1898,1890s,119657,F
1899_everett_green-french-and.english-a-story-of-the-struggle-in-america,everett_green,1899,1890s,129637,F
1894_everett_green-the-lost-treasure-of-trevlyn-a-story-of-the-days-of-the-gunpowder-plot,everett_green,1894,1890s,149415,F
1893_everett_green-in-the-days-of-chivalry-a-tale-of-the-times-of-the-black-prince,everett_green,1893,1890s,153334,F
1895_ewing-the-peace-egg-and-other-tales,ewing,1895,1890s,32213,F
1898_meade-a-bunch-of-cherries-a-story-of-cherry-court-school,meade,1898,1890s,59830,F
1892_meade-the-lady-of-the-forest-a-story-for-girls,meade,1892,1890s,67888,F
1891_meade-a-sweet-girl-graduate,meade,1891,1890s,73406,F
1896_meade-a-little-mother-to-the-others,meade,1896,1890s,74670,F
1894_meade-red-rose-and-tiger-lily-or-in-a-wider-world,meade,1894,1890s,79019,F
1895_meade-girls-new-and-old,meade,1895,1890s,82750,F
1890_meade-the-honorable-miss-a-story-of.an-old-fashioned-town,meade,1890,1890s,85147,F
1898_meade-the-girls-of-st-wodes,meade,1898,1890s,85660,F
1897_meade-wild-kitty,meade,1897,1890s,86110,F
1899_meade-light-o-the-morning,meade,1899,1890s,87871,F
1890_molesworth-the-children-of-the-castle,molesworth,1890,1890s,38730,F
1895_molesworth-the-carved-lions,molesworth,1895,1890s,40019,F
1897_molesworth-miss-mouse-and-her-boys,molesworth,1897,1890s,40040,F
1891_molesworth-nurse-heatherdales-story,molesworth,1891,1890s,40060,F
1892_molesworth-the-girls-and-i-a-veracious-history,molesworth,1892,1890s,40209,F
1894_molesworth-my-new-home,molesworth,1894,1890s,42956,F
1897_molesworth-hoodie,molesworth,1897,1890s,55743,F
1893_molesworth-blanche-a-story-for-girls,molesworth,1893,1890s,77429,F
1890_molesworth-robin-redbreast-a-story-for-girls,molesworth,1890,1890s,78258,F
1896_molesworth-philippa,molesworth,1896,1890s,81541,F
1899_nesbit-pussy-and-doggy-tales,nesbit,1899,1890s,13700,F
1899_nesbit-the-story-of-the-treasure-seekers,nesbit,1899,1890s,52455,F
1907_burnett-the-cozy-lion,burnett,1907,1900s,6425,F
1906_burnett-racketty-packetty-house,burnett,1906,1900s,8913,F
1908_burnett-the-good-wolf,burnett,1908,1900s,10573,F
1904_burnett-in-the-closed-room,burnett,1904,1900s,11134,F
1909_burnett-barty-crusoe-and-his-man-saturday,burnett,1909,1900s,20268,F
1900_everett_green-esthers-charge-a-story-for-girls,everett_green,1900,1900s,58963,F
1901_everett_green-in-the-wars-of-the-roses-a-story-for-the-young,everett_green,1901,1900s,59303,F
1906_everett_green-a-heroine-of-france-the-story-of-joan-of-arc,everett_green,1906,1900s,71800,F
1902_everett_green-for-the-faith-a-story-of-the-young-pioneers-of-reformation-in-oxford,everett_green,1902,1900s,74582,F
1906_everett_green-fallen-fortunes,everett_green,1906,1900s,80384,F
1904_everett_green-the-sign-of-the-red-cross-a-tale-of-old-london,everett_green,1904,1900s,87647,F
1905_meade-a-bevy-of-girls,meade,1905,1900s,78484,F
1907_meade-the-little-school-mothers,meade,1907,1900s,82313,F
1905_meade-a-plain-girl,meade,1905,1900s,83947,F
1906_meade-turquoise-and-ruby,meade,1906,1900s,84514,F
1907_meade-three-girls-from-school,meade,1907,1900s,87155,F
1901_meade-girls-of-the-true-blue,meade,1901,1900s,88097,F
1904_meade-a-modern-tomboy-a-story-for-girls,meade,1904,1900s,91556,F
1900_meade-a-plucky-girl,meade,1900,1900s,91611,F
1902_meade-girls-of.the-forest,meade,1902,1900s,93556,F
1901_meade-a-very-naughty-girl,meade,1901,1900s,95583,F
1901_molesworth-the-wood-pigeons-and-mary,molesworth,1901,1900s,39298,F
1902_molesworth-peterkin,molesworth,1902,1900s,40831,F
1900_molesworth-the-house-that-grew,molesworth,1900,1900s,43297,F
1906_molesworth-jasper,molesworth,1906,1900s,46009,F
1901_nesbit-the-book-of-dragons,nesbit,1901,1900s,41837,F
1904_nesbit-the-phoenix-and-the-carpet,nesbit,1904,1900s,61337,F
1905_nesbit-new-treasure-seekers-or-the-bastable-children-in-search-of-a-fortune,nesbit,1905,1900s,67336,F
1907_nesbit-the-enchanted-castle,nesbit,1907,1900s,68272,F
1906_nesbit-the-story-of-the-amulet,nesbit,1906,1900s,68427,F
1901_nesbit-the-wouldbegoods,nesbit,1901,1900s,78205,F
1902_potter-the-tale-of-peter-rabbit,potter,1902,1900s,977,F
1909_potter-the-tale-of-the-flopsy-bunnies,potter,1909,1900s,1027,F
1909_potter-the-tale-of-ginger-and-pickles,potter,1909,1900s,1141,F
1904_potter-the-tale-of-benjamin-bunny,potter,1904,1900s,1156,F
1903_potter-the-tale-of-squirrel-nutkin,potter,1903,1900s,1244,F
1908_potter-the-tale-of-jemina-puddle-duck,potter,1908,1900s,1283,F
1905_potter-the-tale-of-mrs-riggy-winkle,potter,1905,1900s,1290,F
1908_potter-the-tale-of-samuel-whiskers-the-roly-poly-pudding,potter,1908,1900s,2627,F
1903_potter-the-tailor-of-gloucester,potter,1903,1900s,2738,F
1905_potter-the-tale-of-the-pie-and-the-the-patty-pan,potter,1905,1900s,2852,F
1904_potter_the-tale-of-two-bad-mice,potter_the,1904,1900s,916,F
1911_burnett-the-secret-garden,burnett,1911,1910s,80468,F
1910_meade-sue-a-little-heroine,meade,1910,1910s,72817,F
1910_meade-the-school-queens,meade,1910,1910s,84977,F
1910_meade-betty-vivian-a-story-of-haddo-court-school,meade,1910,1910s,96181,F
1913_nesbit-wet-magic,nesbit,1913,1910s,48960,F
1912_nesbit-the-magic-world,nesbit,1912,1910s,58503,F
1911_nesbit-the-wonderful-garden-oir-the-three-cs,nesbit,1911,1910s,69502,F
1910_potter-the-tale-pf-mrs-tittlemouse,potter,1910,1910s,1224,F
1911_potter-the-tale-of-timmy-tiptoes,potter,1911,1910s,1329,F
1912_potter-the-tale-of-mr-tod,potter,1912,1910s,4886,F
